Date,JSE.ABSP.Close,JSE.BVT.Close,JSE.FSR.Close,JSE.NBKP.Close,JSE.RMH.Close,JSE.SBK.Close,JSE.SLM.Close
2007/11/27,84700,12574,2220,995,3290,10500,2221
2007/11/28,85000,12426,2185,1000,3315,10650,2260
2007/11/29,84750,12178,2213,1005,3320,10690,2326
2007/11/30,84600,11880,2150,1020,3400,10500,2338
2007/12/03,84400,12080,2120,1000,3318,10351,2339
2007/12/04,84400,11866,2130,1005,3245,10565,2330
2007/12/05,84400,11881,2205,1001,3315,10800,2348
2007/12/06,84450,12228,2145,1005,3320,10780,2350
2007/12/07,84450,12248,2095,1006,3300,10895,2350
2007/12/10,84450,12203,2075,1015,3265,10999,2367
2007/12/11,84450,12268,2125,1008,3290,11050,2335
2007/12/12,85000,12311,2184,1021,3290,10890,2330
2007/12/13,85050,12227,2070,1020,3200,10570,2300
2007/12/14,85051,11980,2040,1022,3043,10307,2259
2007/12/18,85500,12050,2050,1015,3002,10300,2235
2007/12/19,85000,11693,2050,1015,2970,10000,2219
2007/12/20,85000,11703,2100,1015,3080,10000,2320
2007/12/21,85000,12232,2085,1020,3007,10200,2320
2007/12/24,85000,12000,2075,1020,3049,10250,2320
2007/12/27,85000,12535,2100,1021,3100,10550,2335
2007/12/28,85501,12594,2076,1030,3110,10500,2350
2007/12/31,86000,11930,1975,1030,2960,10008,2275
2008/01/02,86000,12228,2025,1020,3031,10140,2281
2008/01/03,86000,11882,1970,1030,3006,9950,2250
2008/01/04,86500,12099,1937,1020,2976,9850,2270
2008/01/07,86000,11881,1900,1010,2933,9850,2255
2008/01/08,86500,11842,1959,1010,2970,9860,2272
2008/01/09,86550,11535,1957,1003,2901,9702,2185
2008/01/10,86550,11170,1860,1019,2821,9591,2092
2008/01/11,86550,10886,1800,1020,2810,9500,2020
2008/01/14,86000,10992,1854,1000,2820,9640,2100
2008/01/15,85510,10892,1828,1000,2790,9500,2051
2008/01/16,85510,10663,1841,1000,2775,9350,2001
2008/01/17,85520,10693,1850,1010,2795,9550,2040
2008/01/18,85550,10397,1779,1000,2750,9400,1969
2008/01/21,85052,10100,1725,993,2685,9199,1860
